"","sample","lib","coverage","ctrl_cover","all","mapped","controls","mapped_other_lib","unmapped","unmapped_bad_len"
"1","CT-1-1-1-1_S17","CT",92.4757281553398,85.7142857142857,308215,252794,12509,207,41940,9162
"2","CT-1-1-1-2_S21","CT",90.7766990291262,85.7142857142857,273282,225344,11359,139,34813,7309
"3","CT-1-1-2-1_S18","CT",94.9635922330097,85.7142857142857,383762,321264,9379,151,45687,8725
"4","CT-1-1-2-2_S22","CT",85.0728155339806,85.7142857142857,246915,211583,6527,47,23801,4424
"5","CT-1-1-3-1_S19","CT",93.2645631067961,85.7142857142857,305562,264553,2191,91,29677,2269
"6","CT-1-1-3-2_S23","CT",91.626213592233,85.7142857142857,260308,227628,1902,79,22646,1483
"7","CT-1-1-4-1_S20","CT",89.9271844660194,85.7142857142857,253883,220850,1795,31,24682,885
"8","CT-1-1-4-2_S24","CT",95.873786407767,85.7142857142857,411294,352865,2990,89,46028,2920
"9","CT-1-2-1-1_S25","CT",76.2135922330097,85.7142857142857,221952,182190,9470,94,28246,5417
"10","CT-1-2-1-2_S29","CT",82.0995145631068,85.7142857142857,234192,192333,10137,139,29863,5765
"11","CT-1-2-2-1_S26","CT",84.5873786407767,85.7142857142857,240000,205691,6193,73,22432,3950
"12","CT-1-2-2-2_S30","CT",89.623786407767,85.7142857142857,263659,226009,6657,53,25374,4729
"13","CT-1-2-3-1_S27","CT",91.9296116504854,82.1428571428571,272862,237307,1915,54,25313,1420
"14","CT-1-2-3-2_S31","CT",89.8665048543689,82.1428571428571,207925,183074,1489,31,17009,909
"15","CT-1-2-4-1_S28","CT",84.6480582524272,85.7142857142857,271453,234564,1596,136,27596,1407
"16","CT-1-2-4-2_S32","CT",85.9830097087379,78.5714285714286,282092,244154,1674,79,28520,1381
"17","CT-2-2-1-1_S33","CT",89.9271844660194,85.7142857142857,265921,215512,10163,458,41380,10982
"18","CT-2-2-1-2_S37","CT",93.0825242718447,85.7142857142857,316081,255211,12538,524,51705,13811
"19","CT-2-2-2-1_S34","CT",95.5097087378641,85.7142857142857,278528,236987,6738,193,29377,5949
"20","CT-2-2-2-2_S38","CT",94.6601941747573,85.7142857142857,258189,220677,6257,151,25847,5216
"21","CT-2-2-3-1_S35","CT",93.1432038834951,85.7142857142857,249397,213789,1965,151,25637,2308
"22","CT-2-2-3-2_S39","CT",92.3543689320388,85.7142857142857,212163,183582,1685,80,20090,1770
"23","CT-2-2-4-1_S36","CT",91.3228155339806,85.7142857142857,309062,261525,2003,485,38482,3203
"24","CT-2-2-4-2_S40","CT",89.502427184466,85.7142857142857,258307,220650,1764,320,29567,1960
"25","CT-3-1-1-1_S41","CT",93.4466019417476,85.7142857142857,371572,298575,15261,437,57499,12481
"26","CT-3-1-1-2_S45","CT",86.6504854368932,85.7142857142857,243755,201156,9854,72,30611,6239
"27","CT-3-1-2-1_S42","CT",89.502427184466,85.7142857142857,304877,256773,7565,129,33723,7330
"28","CT-3-1-2-2_S46","CT",94.5388349514563,85.7142857142857,349471,293793,8602,229,39899,8128
"29","CT-3-1-3-1_S43","CT",88.7135922330097,82.1428571428571,305445,261696,2030,178,32138,2524
"30","CT-3-1-3-2_S47","CT",91.5655339805825,85.7142857142857,318332,273493,2281,225,32907,2659
"31","CT-3-1-4-1_S44","CT",85.0121359223301,78.5714285714286,303501,259161,1679,218,34747,2142
"32","CT-3-1-4-2_S48","CT",84.0412621359223,78.5714285714286,269127,231029,1654,73,29034,1475
"33","CT-3-2-1-1_S49","CT",84.5873786407767,82.1428571428571,314353,252341,14028,216,47832,10124
"34","CT-3-2-1-2_S53","CT",91.6868932038835,85.7142857142857,349210,280719,14930,258,53224,11741
"35","CT-3-2-2-1_S50","CT",94.5995145631068,85.7142857142857,344914,290958,8976,99,38548,7438
"36","CT-3-2-2-2_S54","CT",94.4781553398058,85.7142857142857,301965,256435,7983,132,31122,6101
"37","CT-3-2-3-1_S51","CT",89.1383495145631,85.7142857142857,266557,231332,1987,57,24704,1705
"38","CT-3-2-3-2_S55","CT",90.0485436893204,85.7142857142857,277030,240010,2182,72,26385,1897
"39","CT-3-2-4-1_S52","CT",79.7330097087379,71.4285714285714,268848,230959,1498,173,29068,1323
"40","CT-3-2-4-2_S56","CT",88.3495145631068,82.1428571428571,330223,281693,1954,220,37717,2175
"41","E-1-1-1-1_S49","Even",70.1774640453886,82.1428571428571,1704240,1580491,3236,41,64437,7738
"42","E-1-1-1-2_S53","Even",73.3737960153054,85.7142857142857,1910782,1765672,3369,35,78855,9792
"43","E-1-1-2-1_S50","Even",60.8424594273651,71.4285714285714,1269295,1187631,2187,0,39531,5791
"44","E-1-1-2-2_S54","Even",84.5758015569336,85.7142857142857,3012565,2736539,4673,22,169453,26109
"45","E-1-1-3-1_S51","Even",67.6474468927299,75,1354133,1270303,1531,0,41127,5374
"46","E-1-1-3-2_S55","Even",82.085367462726,82.1428571428571,2274999,2093650,2643,15,104426,14277
"47","E-1-1-4-1_S52","Even",48.7498350705898,67.8571428571429,876715,830700,945,0,20305,1855
"48","E-1-1-4-2_S56","Even",74.9505211769363,75,1901139,1761465,2165,16,79396,8540
"49","E-1-2-1-1_S57","Even",75.7685710515899,85.7142857142857,2097613,1919345,3889,11,100229,13382
"50","E-1-2-1-2_S61","Even",67.4000527774113,85.7142857142857,1629281,1510104,2958,0,63208,7900
"51","E-1-2-2-1_S58","Even",77.5926903285394,82.1428571428571,2033818,1871705,3329,5,89906,14718
"52","E-1-2-2-2_S62","Even",78.6482385538989,85.7142857142857,2064071,1901976,3349,16,89528,13988
"53","E-1-2-3-1_S59","Even",84.8264942604565,85.7142857142857,2461411,2258770,2688,27,116609,15959
"54","E-1-2-3-2_S63","Even",78.2952896160443,78.5714285714286,1970421,1819994,2241,5,82724,11346
"55","E-1-2-4-1_S60","Even",73.924660245415,75,1891293,1747851,1810,16,80699,8316
"56","E-1-2-4-2_S64","Even",76.8274178651537,82.1428571428571,2188716,2008052,2149,10,105957,11795
"57","E-2-1-1-1_S65","Even",73.261644016361,82.1428571428571,2392251,2156053,4376,28,138796,19170
"58","E-2-1-1-2_S69","Even",72.71737696266,82.1428571428571,2560825,2281861,5264,56,171226,28176
"59","E-2-1-2-1_S66","Even",76.3425253991292,82.1428571428571,2333375,2115903,3640,5,123880,21528
"60","E-2-1-2-2_S70","Even",70.289616044333,75,2004864,1819149,3382,44,102599,19952
"61","E-2-1-3-1_S67","Even",77.6289747987861,85.7142857142857,2035744,1868161,1947,26,91529,13396
"62","E-2-1-3-2_S71","Even",72.756960021111,75,1811890,1664995,1708,54,78884,11498
"63","E-2-1-4-1_S68","Even",72.186304261776,75,2393094,2159939,1785,65,143947,16984
"64","E-2-1-4-2_S72","Even",72.3545322601926,78.5714285714286,2218126,2013213,1882,38,123006,13749
"65","E-2-2-1-1_S73","Even",73.1725821348463,82.1428571428571,3011091,2655324,5777,127,234284,38774
"66","E-2-2-1-2_S77","Even",63.9959097506267,78.5714285714286,2014270,1811169,3839,72,117151,17463
"67","E-2-2-2-1_S74","Even",79.4794827813696,85.7142857142857,3093249,2734139,5126,126,226101,48759
"68","E-2-2-2-2_S78","Even",74.8284734133791,82.1428571428571,2264216,2045038,3404,65,125824,23586
"69","E-2-2-3-1_S75","Even",81.7258213484629,78.5714285714286,2545247,2303161,2279,269,140877,22774
"70","E-2-2-3-2_S79","Even",83.5103575669613,82.1428571428571,2657535,2408511,2425,36,146829,22919
"71","E-2-2-4-1_S76","Even",76.9296740994854,78.5714285714286,2921937,2611307,2068,127,201282,25208
"72","E-2-2-4-2_S80","Even",80.4822535954611,78.5714285714286,3003606,2693337,2107,109,198810,23217
"73","E-3-1-1-1_S1","Even",94.055944055944,85.7142857142857,4908826,4362393,7854,361,364917,50544
"74","E-3-1-1-2_S5","Even",94.7948278136957,85.7142857142857,5179811,4606885,8248,111,383455,53674
"75","E-3-1-2-1_S2","Even",94.7981264019,85.7142857142857,5355524,4779935,7261,112,382339,55302
"76","E-3-1-2-2_S6","Even",95.329199102784,85.7142857142857,5479795,4895154,6890,148,387091,54894
"77","E-3-1-3-1_S3","Even",94.877292518802,85.7142857142857,5036777,4541779,4908,103,324149,37099
"78","E-3-1-3-2_S7","Even",94.0031666446761,85.7142857142857,3884663,3531082,3666,56,217477,23820
"79","E-3-1-4-1_S4","Even",94.4616704050666,85.7142857142857,5271324,4738351,4786,103,362587,33601
"80","E-3-1-4-2_S8","Even",95.2071513392268,85.7142857142857,5824993,5215841,4864,149,417775,39017
"81","E-3-2-1-1_S9","Even",94.5408365219686,85.7142857142857,5496400,4826017,9418,252,466466,72067
"82","E-3-2-1-2_S13","Even",94.6430927563003,85.7142857142857,5612281,4934840,9500,228,471446,71735
"83","E-3-2-2-1_S10","Even",94.7222588732023,85.7142857142857,5774644,5102328,7348,277,455870,72890
"84","E-3-2-2-2_S14","Even",94.3000395830584,85.7142857142857,5027428,4455627,6413,133,377797,61664
"85","E-3-2-3-1_S11","Even",94.4847605224964,85.7142857142857,4736453,4248642,4257,176,316661,37310
"86","E-3-2-3-2_S15","Even",94.9894445177464,85.7142857142857,5308249,4752233,4867,170,366678,42917
"87","E-3-2-4-1_S12","Even",94.758543343449,85.7142857142857,6411043,5677217,4883,466,527352,53079
"88","E-3-2-4-2_S16","Even",94.1417073492545,85.7142857142857,4935915,4414317,3736,265,353395,32899
"89","O-1-1-1-1_S1","Odd",62.8717487059126,85.7142857142857,2266061,1960560,7084,80,202441,29402
"90","O-1-1-1-2_S5","Odd",68.8486641160017,85.7142857142857,2669277,2291632,7908,114,258071,38216
"91","O-1-1-2-1_S2","Odd",46.953670063981,82.1428571428571,1063890,961071,3098,38,60328,10412
"92","O-1-1-2-2_S6","Odd",70.2472430312189,85.7142857142857,2241360,1964884,6059,71,183948,31395
"93","O-1-1-3-1_S3","Odd",74.8705912612931,85.7142857142857,2398143,2114054,2543,17,188713,22539
"94","O-1-1-3-2_S7","Odd",76.233803813137,85.7142857142857,2542263,2233040,2872,24,208311,25677
"95","O-1-1-4-1_S4","Odd",65.6399704208597,82.1428571428571,2292755,2005937,2096,5,198244,15992
"96","O-1-1-4-2_S8","Odd",72.9575925151915,85.7142857142857,3077109,2659374,2798,5,299550,28609
"97","O-1-2-1-1_S9","Odd",61.2481111146835,85.7142857142857,2374151,2032223,7334,0,230751,34142
"98","O-1-2-1-2_S13","Odd",68.1156158569913,85.7142857142857,3425778,2884078,10876,0,391249,59571
"99","O-1-2-2-1_S10","Odd",58.209818988522,78.5714285714286,1558141,1381958,4702,0,110122,19549
"100","O-1-2-2-2_S14","Odd",75.0956499373051,85.7142857142857,3041990,2618001,8287,0,294327,51993
"101","O-1-2-3-1_S11","Odd",67.504742307816,85.7142857142857,1905068,1688656,1791,0,137390,15965
"102","O-1-2-3-2_S15","Odd",69.5849274989551,82.1428571428571,2059646,1820009,1967,0,156048,18209
"103","O-1-2-4-1_S12","Odd",52.8630678712664,78.5714285714286,1608404,1420365,1283,0,125158,8982
"104","O-1-2-4-2_S16","Odd",57.7854226280423,82.1428571428571,1908255,1675601,1540,12,158171,11861
"105","O-2-1-1-1_S17","Odd",60.3125100472623,82.1428571428571,2039950,1771281,6554,0,176056,25466
"106","O-2-1-1-2_S21","Odd",64.8972767900203,85.7142857142857,2260683,1958995,7420,0,200381,28893
"107","O-2-1-2-1_S18","Odd",68.2474359386554,85.7142857142857,2095438,1836156,5610,62,170541,29949
"108","O-2-1-2-2_S22","Odd",75.6679419991641,85.7142857142857,2519889,2196749,6223,79,216305,36946
"109","O-2-1-3-1_S19","Odd",74.0957463910234,85.7142857142857,2246878,1978276,2658,124,176558,21459
"110","O-2-1-3-2_S23","Odd",69.8517827862264,85.7142857142857,1930415,1707609,2289,164,144337,18268
"111","O-2-1-4-1_S20","Odd",66.8424267755522,78.5714285714286,2412075,2100834,2082,251,216576,18102
"112","O-2-1-4-2_S24","Odd",68.999774941324,78.5714285714286,2283667,2000499,2330,336,193247,16275
"113","O-2-2-1-1_S25","Odd",48.5708774073241,78.5714285714286,1563626,1368619,5344,0,121941,17637
"114","O-2-2-1-2_S29","Odd",62.0165257370672,82.1428571428571,2342617,2017868,7432,0,218922,32036
"115","O-2-2-2-1_S26","Odd",65.3827605054175,82.1428571428571,2214369,1924125,5837,0,193055,35583
"116","O-2-2-2-2_S30","Odd",64.0131177056875,82.1428571428571,2003591,1752881,5282,0,164691,29274
"117","O-2-2-3-1_S27","Odd",65.6399704208597,85.7142857142857,1893448,1673001,1702,0,141392,17098
"118","O-2-2-3-2_S31","Odd",59.357618236183,82.1428571428571,1541170,1373405,1581,0,103759,12312
"119","O-2-2-4-1_S28","Odd",65.7139182715494,82.1428571428571,2075903,1823725,1807,63,169713,13451
"120","O-2-2-4-2_S32","Odd",69.8871491495997,85.7142857142857,2513148,2184404,2148,75,227373,19299
"121","O-3-1-1-1_S33","Odd",58.206603864579,82.1428571428571,1753969,1532012,5018,0,139592,20538
"122","O-3-1-1-2_S37","Odd",44.7062984278044,75,1174571,1045871,3875,0,75459,10245
"123","O-3-1-2-1_S34","Odd",52.4225958910716,82.1428571428571,1197625,1073986,3420,0,73291,11999
"124","O-3-1-2-2_S38","Odd",72.0091309519982,85.7142857142857,2170043,1903465,5322,0,174046,28156
"125","O-3-1-3-1_S35","Odd",73.2823200334373,85.7142857142857,2008356,1775837,2128,0,147663,15845
"126","O-3-1-3-2_S39","Odd",72.9575925151915,82.1428571428571,2106775,1863206,2383,0,159479,18254
"127","O-3-1-4-1_S36","Odd",63.5372793621194,75,2158933,1883156,1732,0,189609,16334
"128","O-3-1-4-2_S40","Odd",64.067774812719,82.1428571428571,1982916,1745424,1890,28,159466,12906
"129","O-3-2-1-1_S41","Odd",55.9206507410861,82.1428571428571,1570385,1391490,4591,472,110955,15121
"130","O-3-2-1-2_S45","Odd",60.1774748416551,85.7142857142857,1754940,1542411,5088,620,134327,18620
"131","O-3-2-2-1_S42","Odd",72.9929588785648,85.7142857142857,2118802,1872960,5134,0,162187,25363
"132","O-3-2-2-2_S46","Odd",68.8454489920586,82.1428571428571,1814809,1613300,4879,219,127309,19897
"133","O-3-2-3-1_S43","Odd",70.2215220396746,85.7142857142857,1810055,1614679,1991,67,123707,12976
"134","O-3-2-3-2_S47","Odd",75.2178246471401,85.7142857142857,2089016,1854992,2401,62,152467,16513
"135","O-3-2-4-1_S44","Odd",57.0845256084622,78.5714285714286,1623592,1436877,1545,59,124023,8782
"136","O-3-2-4-2_S48","Odd",65.3827605054175,85.7142857142857,2099433,1842705,2057,28,175427,14292
